Time(s),Raw_Roll,Raw_Pitch,Smooth_Roll,Smooth_Pitch
358.932,-0.11,-0.31,-0.11,-0.31
358.954,-0.05,-0.42,-0.08,-0.36
358.976,-0.06,-0.25,-0.07,-0.33
358.998,-0.12,-0.17,-0.08,-0.29
359.020,-0.13,-0.37,-0.09,-0.30
359.042,-0.23,-0.46,-0.12,-0.33
359.064,-0.26,-0.36,-0.16,-0.32
359.086,-0.36,-0.34,-0.22,-0.34
359.108,-0.29,-0.37,-0.25,-0.38
359.130,-0.32,-0.33,-0.29,-0.37
359.152,-0.29,-0.31,-0.30,-0.34
359.174,-0.33,-0.34,-0.32,-0.34
359.196,-0.31,-0.22,-0.31,-0.31
359.218,-0.32,-0.26,-0.31,-0.29
359.240,-0.26,-0.43,-0.30,-0.31
359.262,-0.15,-0.29,-0.27,-0.31
359.284,-0.37,-0.34,-0.28,-0.31
359.306,-0.22,-0.39,-0.26,-0.34
359.328,-0.05,-0.41,-0.21,-0.37
359.350,-0.26,-0.40,-0.21,-0.37
359.372,-0.26,-0.41,-0.23,-0.39
359.394,-0.30,-0.34,-0.22,-0.39
359.416,-0.18,-0.22,-0.21,-0.36
359.438,-0.26,-0.21,-0.25,-0.32
359.460,0.03,-0.30,-0.19,-0.30
359.482,-0.10,-0.44,-0.16,-0.30
359.504,-0.31,-0.16,-0.16,-0.27
359.526,-0.25,-0.24,-0.18,-0.27
359.548,-0.17,-0.17,-0.16,-0.26
359.570,-0.19,-0.29,-0.20,-0.26
359.592,-0.13,-0.39,-0.21,-0.25
359.614,-0.19,-0.38,-0.19,-0.29
359.636,-0.14,-0.54,-0.16,-0.35
359.658,-0.23,-0.40,-0.18,-0.40
359.680,-0.06,-0.33,-0.15,-0.41
359.702,-0.17,-0.26,-0.16,-0.38
359.724,-0.22,-0.24,-0.16,-0.35
359.746,-0.16,-0.29,-0.17,-0.30
359.768,-0.09,-0.30,-0.14,-0.28
359.790,-0.08,-0.32,-0.14,-0.28
359.812,-0.23,-0.31,-0.16,-0.29
359.834,-0.30,-0.29,-0.17,-0.30
359.856,-0.26,-0.49,-0.19,-0.34
359.878,-0.27,-0.39,-0.23,-0.36
359.900,-0.22,-0.33,-0.26,-0.36
359.922,-0.21,-0.41,-0.25,-0.38
359.944,-0.25,-0.46,-0.24,-0.42
359.966,-0.20,-0.43,-0.23,-0.40
359.988,-0.21,-0.35,-0.22,-0.40
360.010,-0.09,-0.48,-0.19,-0.43
360.032,-0.13,-0.31,-0.18,-0.41
360.054,-0.20,-0.38,-0.17,-0.39
360.076,-0.31,-0.45,-0.19,-0.39
360.098,-0.28,-0.44,-0.20,-0.41
360.120,-0.17,-0.38,-0.22,-0.39
360.142,-0.12,-0.30,-0.22,-0.39
360.164,-0.28,-0.42,-0.23,-0.40
360.186,-0.16,-0.42,-0.20,-0.39
360.208,-0.16,-0.46,-0.18,-0.40
360.230,-0.11,-0.38,-0.17,-0.40
360.252,-0.21,-0.29,-0.18,-0.39
360.274,-0.14,-0.44,-0.16,-0.40
360.296,-0.21,-0.26,-0.17,-0.37
360.318,-0.23,-0.30,-0.18,-0.33
360.340,-0.38,-0.50,-0.23,-0.36
360.362,-0.26,-0.54,-0.24,-0.41
360.384,-0.32,-0.27,-0.28,-0.37
360.406,-0.34,-0.27,-0.31,-0.38
360.428,-0.15,-0.32,-0.29,-0.38
360.450,-0.27,-0.34,-0.27,-0.35
