Time(s),Raw_Roll,Raw_Pitch,Smooth_Roll,Smooth_Pitch
746.469,-0.34,-0.99,-0.34,-0.99
746.491,-0.45,-1.06,-0.40,-1.02
746.513,-0.39,-0.92,-0.39,-0.99
746.535,-0.39,-0.93,-0.39,-0.98
746.557,-0.48,-0.91,-0.41,-0.96
746.579,-0.42,-0.98,-0.43,-0.96
746.601,-0.50,-0.94,-0.44,-0.94
746.623,-0.40,-0.79,-0.44,-0.91
746.645,-0.43,-0.90,-0.45,-0.90
746.667,-0.34,-0.96,-0.42,-0.91
746.689,-0.27,-0.85,-0.39,-0.89
746.711,-0.26,-0.91,-0.34,-0.88
746.733,-0.35,-0.82,-0.33,-0.89
746.755,-0.51,-1.00,-0.35,-0.91
746.777,-0.53,-1.09,-0.38,-0.93
746.799,-0.53,-0.99,-0.44,-0.96
746.821,-0.42,-0.99,-0.47,-0.98
746.843,-0.48,-0.86,-0.49,-0.99
746.865,-0.41,-0.79,-0.47,-0.94
746.887,-0.36,-0.76,-0.44,-0.88
746.909,-0.33,-1.03,-0.40,-0.89
746.931,-0.42,-0.92,-0.40,-0.87
746.953,-0.40,-0.79,-0.38,-0.86
746.975,-0.37,-0.96,-0.38,-0.89
746.997,-0.40,-1.15,-0.38,-0.97
747.019,-0.29,-1.00,-0.38,-0.96
747.041,-0.25,-1.12,-0.34,-1.00
747.063,-0.34,-1.27,-0.33,-1.10
747.085,-0.33,-1.25,-0.32,-1.16
747.107,-0.38,-1.03,-0.32,-1.13
747.129,-0.33,-0.94,-0.33,-1.12
747.151,-0.27,-0.99,-0.33,-1.10
747.173,-0.32,-1.07,-0.33,-1.06
747.195,-0.29,-1.07,-0.32,-1.02
747.217,-0.25,-1.05,-0.29,-1.02
747.239,-0.16,-0.98,-0.26,-1.03
747.261,-0.14,-0.88,-0.23,-1.01
747.283,-0.24,-0.90,-0.22,-0.98
747.305,-0.27,-0.95,-0.21,-0.95
747.327,-0.18,-1.09,-0.20,-0.96
747.349,-0.28,-0.83,-0.22,-0.93
747.371,-0.22,-0.82,-0.24,-0.92
747.393,-0.14,-0.76,-0.22,-0.89
747.415,-0.28,-0.92,-0.22,-0.88
747.437,-0.18,-0.95,-0.22,-0.86
747.459,-0.18,-0.95,-0.20,-0.88
747.481,-0.07,-1.12,-0.17,-0.94
747.503,-0.22,-1.02,-0.19,-0.99
747.525,-0.25,-1.05,-0.18,-1.02
747.547,-0.37,-0.74,-0.22,-0.98
747.569,-0.42,-0.85,-0.27,-0.96
747.591,-0.35,-0.76,-0.32,-0.88
747.613,-0.39,-0.96,-0.36,-0.87
747.635,-0.42,-0.92,-0.39,-0.85
747.657,-0.31,-1.02,-0.38,-0.90
747.679,-0.26,-0.88,-0.35,-0.91
747.701,-0.28,-0.95,-0.33,-0.95
747.723,-0.30,-0.97,-0.31,-0.95
747.745,-0.35,-1.01,-0.30,-0.97
747.767,-0.44,-0.95,-0.33,-0.95
747.789,-0.40,-0.99,-0.35,-0.97
747.811,-0.26,-0.85,-0.35,-0.95
747.833,-0.27,-0.93,-0.34,-0.95
747.855,-0.29,-0.90,-0.33,-0.92
747.877,-0.40,-1.08,-0.32,-0.95
747.899,-0.34,-0.86,-0.31,-0.92
747.921,-0.24,-0.87,-0.31,-0.93
747.943,-0.33,-0.94,-0.32,-0.93
747.965,-0.33,-1.03,-0.33,-0.96
747.987,-0.25,-1.03,-0.30,-0.95
748.009,-0.36,-0.95,-0.30,-0.96
748.031,-0.27,-0.93,-0.31,-0.98
748.053,-0.29,-0.95,-0.30,-0.98
748.075,-0.41,-1.01,-0.32,-0.97
748.097,-0.36,-0.97,-0.34,-0.96
748.119,-0.30,-1.02,-0.33,-0.98
748.141,-0.38,-0.95,-0.35,-0.98
748.163,-0.30,-1.05,-0.35,-1.00
748.185,-0.29,-1.00,-0.33,-1.00
748.207,-0.36,-0.98,-0.33,-1.00
748.229,-0.25,-0.95,-0.32,-0.99
748.251,-0.18,-0.94,-0.28,-0.98
748.273,-0.33,-0.80,-0.28,-0.93
748.295,-0.29,-0.96,-0.28,-0.93
748.317,-0.24,-0.78,-0.26,-0.89
748.339,-0.34,-0.87,-0.28,-0.87
748.361,-0.38,-0.97,-0.32,-0.88
748.383,-0.27,-0.93,-0.30,-0.90
748.405,-0.28,-0.81,-0.30,-0.87
748.427,-0.24,-0.85,-0.30,-0.89
748.449,-0.28,-0.88,-0.29,-0.89
748.471,-0.21,-0.92,-0.26,-0.88
748.493,-0.24,-1.06,-0.25,-0.90
748.515,-0.28,-1.03,-0.25,-0.95
748.537,-0.30,-0.78,-0.26,-0.93
748.559,-0.30,-0.85,-0.27,-0.93
748.581,-0.32,-1.06,-0.29,-0.96
748.603,-0.25,-0.98,-0.29,-0.94
748.625,-0.27,-0.99,-0.29,-0.93
748.647,-0.39,-0.89,-0.31,-0.95
748.669,-0.25,-0.88,-0.30,-0.96
748.691,-0.18,-0.91,-0.27,-0.93
748.713,-0.24,-0.82,-0.27,-0.90
748.735,-0.22,-0.90,-0.26,-0.88
748.757,-0.39,-0.90,-0.26,-0.88
748.779,-0.28,-0.91,-0.26,-0.89
748.801,-0.33,-0.93,-0.29,-0.89
748.823,-0.25,-0.96,-0.29,-0.92
748.845,-0.19,-0.95,-0.29,-0.93
748.867,-0.23,-0.67,-0.26,-0.88
748.889,-0.43,-0.73,-0.29,-0.85
748.911,-0.44,-0.86,-0.31,-0.83
748.933,-0.48,-0.76,-0.35,-0.79
748.955,-0.41,-0.77,-0.40,-0.76
748.977,-0.25,-0.82,-0.40,-0.79
748.999,-0.31,-1.05,-0.38,-0.85
749.021,-0.31,-1.10,-0.35,-0.90
749.043,-0.31,-1.01,-0.32,-0.95
749.065,-0.31,-1.10,-0.30,-1.02
749.087,-0.19,-0.95,-0.29,-1.04
749.109,-0.19,-0.93,-0.26,-1.02
749.131,-0.14,-0.92,-0.23,-0.98
749.153,-0.24,-0.93,-0.21,-0.97
749.175,-0.29,-0.87,-0.21,-0.92
749.197,-0.18,-0.92,-0.21,-0.91
749.219,-0.24,-0.89,-0.22,-0.91
749.241,-0.12,-1.00,-0.21,-0.92
749.263,-0.01,-0.87,-0.17,-0.91
749.285,0.03,-0.74,-0.10,-0.88
749.307,-0.15,-1.03,-0.10,-0.91
749.329,-0.20,-0.94,-0.09,-0.92
749.351,-0.17,-1.03,-0.10,-0.92
749.373,-0.21,-1.15,-0.14,-0.98
749.395,-0.15,-0.97,-0.18,-1.02
749.417,-0.17,-0.91,-0.18,-1.00
749.439,-0.23,-0.94,-0.19,-1.00
749.461,-0.19,-0.99,-0.19,-0.99
749.483,-0.35,-0.94,-0.22,-0.95
749.505,-0.32,-0.98,-0.25,-0.95
749.527,-0.30,-0.90,-0.28,-0.95
749.549,-0.47,-0.90,-0.33,-0.94
749.571,-0.37,-0.97,-0.36,-0.94
749.593,-0.33,-1.06,-0.36,-0.96
749.615,-0.31,-1.06,-0.36,-0.98
749.637,-0.31,-1.06,-0.36,-1.01
749.659,-0.36,-1.15,-0.34,-1.06
749.681,-0.45,-1.11,-0.35,-1.09
749.703,-0.37,-0.93,-0.36,-1.06
749.725,-0.24,-0.88,-0.35,-1.03
749.747,-0.29,-0.97,-0.34,-1.01
749.769,-0.32,-0.99,-0.33,-0.98
749.791,-0.18,-0.94,-0.28,-0.94
749.813,-0.17,-0.92,-0.24,-0.94
749.835,-0.08,-0.79,-0.21,-0.92
749.857,-0.16,-0.80,-0.18,-0.89
749.879,-0.35,-0.68,-0.19,-0.83
749.901,-0.24,-0.59,-0.20,-0.76
749.923,-0.09,-0.92,-0.18,-0.76
749.945,-0.22,-0.98,-0.21,-0.79
749.967,-0.37,-0.80,-0.25,-0.79
749.989,-0.27,-1.01,-0.24,-0.86
750.011,-0.28,-0.95,-0.25,-0.93
750.033,-0.31,-0.87,-0.29,-0.92
750.055,-0.21,-0.97,-0.29,-0.92
750.077,-0.22,-1.00,-0.26,-0.96
750.099,-0.20,-0.92,-0.24,-0.94
750.121,-0.21,-1.06,-0.23,-0.96
750.143,-0.12,-0.99,-0.19,-0.99
750.165,-0.19,-0.93,-0.19,-0.98
750.187,-0.32,-0.88,-0.21,-0.96
750.209,-0.24,-0.86,-0.22,-0.94
750.231,-0.07,-0.83,-0.19,-0.90
750.253,-0.14,-0.82,-0.19,-0.86
750.275,-0.19,-0.90,-0.19,-0.86
750.297,-0.33,-1.04,-0.19,-0.89
750.319,-0.35,-1.04,-0.22,-0.93
750.341,-0.41,-1.06,-0.28,-0.97
750.363,-0.31,-0.82,-0.32,-0.97
750.385,-0.44,-0.97,-0.37,-0.99
750.407,-0.35,-1.00,-0.37,-0.98
750.429,-0.38,-0.85,-0.38,-0.94
750.451,-0.31,-0.82,-0.36,-0.89
750.473,-0.28,-0.78,-0.35,-0.88
750.495,-0.22,-0.85,-0.31,-0.86
750.517,-0.28,-1.05,-0.29,-0.87
750.539,-0.19,-0.99,-0.26,-0.90
750.561,-0.20,-1.07,-0.23,-0.95
750.583,-0.26,-0.99,-0.23,-0.99
750.605,-0.24,-0.90,-0.23,-1.00
750.627,-0.16,-0.91,-0.21,-0.97
