Time(s),Raw_Roll,Raw_Pitch,Smooth_Roll,Smooth_Pitch
369.213,0.49,3.31,0.49,3.31
369.235,0.21,3.17,0.35,3.24
369.257,0.24,3.28,0.31,3.25
369.279,0.38,3.16,0.33,3.23
369.301,0.44,3.21,0.35,3.23
369.323,0.31,3.23,0.32,3.21
369.345,0.26,3.20,0.33,3.22
369.367,0.32,3.26,0.34,3.21
369.389,0.16,3.20,0.30,3.22
369.411,0.21,3.39,0.25,3.26
369.433,0.31,3.43,0.25,3.30
369.455,0.29,3.32,0.26,3.32
369.477,0.08,3.46,0.21,3.36
369.499,0.31,3.42,0.24,3.40
369.521,0.25,3.51,0.25,3.43
369.543,0.34,3.52,0.25,3.45
369.565,0.27,3.34,0.25,3.45
369.587,0.38,3.41,0.31,3.44
369.609,0.60,3.48,0.37,3.45
369.631,0.36,3.34,0.39,3.42
369.653,0.34,3.47,0.39,3.41
369.675,0.30,3.47,0.40,3.43
369.697,0.31,3.53,0.38,3.46
369.719,0.35,3.51,0.33,3.46
369.741,0.34,3.40,0.33,3.48
369.763,0.18,3.51,0.30,3.48
369.785,0.27,3.35,0.29,3.46
369.807,0.26,3.39,0.28,3.43
369.829,0.21,3.34,0.25,3.40
369.851,0.38,3.36,0.26,3.39
369.873,0.36,3.29,0.30,3.35
369.895,0.28,3.19,0.30,3.31
369.917,0.37,3.23,0.32,3.28
369.939,0.26,3.20,0.33,3.25
369.961,0.34,3.17,0.32,3.22
369.983,0.30,3.38,0.31,3.23
370.005,0.43,3.44,0.34,3.28
370.027,0.36,3.42,0.34,3.32
370.049,0.33,3.30,0.35,3.34
370.071,0.24,3.36,0.33,3.38
370.093,0.30,3.39,0.33,3.38
370.115,0.20,3.31,0.29,3.36
370.137,0.16,3.43,0.25,3.36
370.159,0.27,3.43,0.23,3.38
370.181,0.27,3.41,0.24,3.39
370.203,0.36,3.59,0.25,3.43
370.225,0.27,3.50,0.27,3.47
370.247,0.23,3.37,0.28,3.46
370.269,0.23,3.33,0.27,3.44
370.291,0.09,3.34,0.24,3.43
370.313,0.27,3.39,0.22,3.39
370.335,0.30,3.55,0.22,3.40
370.357,0.29,3.59,0.24,3.44
370.379,0.31,3.46,0.25,3.47
370.401,0.36,3.41,0.31,3.48
370.423,0.41,3.52,0.33,3.51
370.445,0.44,3.41,0.36,3.48
370.467,0.33,3.43,0.37,3.45
370.489,0.30,3.54,0.37,3.46
370.511,0.38,3.34,0.37,3.45
370.533,0.36,3.39,0.36,3.42
370.555,0.36,3.22,0.35,3.38
